,transaction_id,user_id,timestamp,amount,device_type,location,is_vpn,card_type,status,is_fraud
0,TB4C77F,U70732,2025-03-15T09:26:07.373116Z,35.4,mobile,"California, USA",False,credit,approved,0
1,TEB9CFD,U78173,2025-03-13T12:56:07.375353Z,984.54,desktop,"London, UK",False,debit,approved,0
2,T4EFFB1,U30837,2025-03-15T07:44:07.376351Z,600.24,desktop,"Texas, USA",True,debit,declined,0
3,T77A8DB,U99973,2025-03-15T09:25:07.377351Z,227.15,desktop,"London, UK",True,prepaid,approved,0
4,TF11660,U57903,2025-03-12T14:30:07.378357Z,80.64,mobile,"Texas, USA",False,prepaid,approved,0
5,T64197C,U89304,2025-03-14T12:15:07.379350Z,734.44,mobile,"Texas, USA",True,prepaid,declined,0
6,T48ACBD,U12807,2025-03-15T18:19:07.380351Z,478.63,tablet,"London, UK",False,prepaid,approved,0
7,T57EA4D,U70264,2025-03-11T10:02:07.381350Z,133.52,mobile,"Ontario, Canada",False,debit,approved,0
8,TC13AF3,U15128,2025-03-10T11:32:07.382351Z,310.24,mobile,"California, USA",True,debit,approved,0
9,T9DBA92,U90738,2025-03-16T13:19:07.383350Z,840.48,tablet,"Ontario, Canada",True,debit,declined,0
10,T126049,U53664,2025-03-10T15:27:07.384350Z,418.65,desktop,"Ontario, Canada",False,prepaid,declined,0
11,T8BC403,U41207,2025-03-11T04:31:07.385350Z,422.22,desktop,"London, UK",False,debit,declined,1
12,T5E0F55,U50473,2025-03-16T04:35:07.386351Z,531.89,mobile,"Ontario, Canada",False,credit,approved,0
13,T83BB7F,U49136,2025-03-13T17:24:07.387350Z,377.8,mobile,"London, UK",False,debit,approved,0
14,TD0F6D5,U78109,2025-03-11T07:28:07.387350Z,658.28,mobile,"London, UK",True,prepaid,approved,1
15,T47FF1E,U85582,2025-03-13T05:45:07.389355Z,891.58,desktop,"California, USA",False,debit,approved,0
16,T03D369,U39355,2025-03-16T06:14:07.390354Z,738.97,desktop,"California, USA",True,prepaid,declined,0
17,T444C43,U45927,2025-03-13T02:37:07.391024Z,723.5,tablet,"Ontario, Canada",True,credit,approved,0
18,T9A59B7,U20607,2025-03-10T12:40:07.392029Z,152.52,desktop,"California, USA",False,debit,declined,0
19,TCB5761,U91086,2025-03-15T18:51:07.393027Z,225.9,mobile,"New York, USA",True,credit,approved,0
20,T2838A2,U59478,2025-03-12T17:09:07.394027Z,115.29,mobile,"New York, USA",False,credit,approved,0
21,T9323F1,U73757,2025-03-12T04:50:07.395026Z,464.06,desktop,"Ontario, Canada",False,debit,approved,1
22,T5DE904,U36822,2025-03-15T01:49:07.396026Z,221.51,desktop,"Texas, USA",False,prepaid,declined,0
23,TBBBF36,U22313,2025-03-14T18:22:07.397026Z,205.35,mobile,"Texas, USA",True,debit,approved,0
24,T1B01D9,U69577,2025-03-11T18:47:07.398026Z,509.36,desktop,"New York, USA",True,prepaid,approved,0
25,TDBC339,U76155,2025-03-12T09:18:07.399026Z,419.27,tablet,"Texas, USA",True,debit,declined,0
26,T1C9FA6,U14636,2025-03-09T19:56:07.400026Z,493.72,desktop,"New York, USA",False,prepaid,declined,0
27,T01A944,U23912,2025-03-15T22:56:07.401026Z,144.03,mobile,"London, UK",False,debit,approved,0
28,TFB75C3,U30667,2025-03-10T14:27:07.402026Z,522.34,desktop,"Ontario, Canada",True,prepaid,declined,0
29,T095646,U80503,2025-03-11T04:16:07.403026Z,605.14,tablet,"Ontario, Canada",True,credit,approved,0
30,T6C0FA6,U32379,2025-03-13T05:08:07.404026Z,518.06,desktop,"New York, USA",False,debit,declined,0
31,T16FA00,U92350,2025-03-15T22:27:07.405026Z,183.72,tablet,"London, UK",True,debit,approved,0
32,TED15BC,U14364,2025-03-10T23:52:07.405026Z,702.44,desktop,"New York, USA",False,debit,approved,0
33,TD6E0E7,U49428,2025-03-12T18:06:07.407024Z,991.85,tablet,"Ontario, Canada",False,debit,approved,1
34,TD0FF9B,U12904,2025-03-09T15:43:07.408058Z,403.21,tablet,"Texas, USA",True,credit,declined,0
35,T51EAB7,U31167,2025-03-15T09:27:07.408058Z,124.32,mobile,"California, USA",False,debit,declined,0
36,T3A3A71,U21654,2025-03-12T21:27:07.408058Z,697.34,mobile,"California, USA",True,prepaid,approved,0
37,TEEE312,U99745,2025-03-13T07:51:07.408058Z,12.12,desktop,"California, USA",True,prepaid,declined,0
38,T328A02,U92815,2025-03-10T10:25:07.408058Z,863.62,tablet,"Ontario, Canada",False,prepaid,approved,0
39,T3D3834,U41429,2025-03-10T09:40:07.408058Z,570.83,tablet,"Texas, USA",True,prepaid,approved,0
40,TE8CF76,U79216,2025-03-16T12:45:07.408058Z,767.9,tablet,"Ontario, Canada",False,credit,declined,0
41,T275052,U55109,2025-03-13T18:01:07.408058Z,969.8,mobile,"Texas, USA",False,debit,declined,0
42,TAC5397,U44084,2025-03-12T01:12:07.408058Z,592.24,desktop,"California, USA",True,prepaid,declined,0
43,TF251F2,U51786,2025-03-13T20:24:07.408058Z,310.34,tablet,"London, UK",True,debit,approved,1
44,T76B15F,U27858,2025-03-10T12:48:07.408058Z,380.82,mobile,"Ontario, Canada",False,credit,approved,0
45,T4767F8,U84787,2025-03-13T06:32:07.408058Z,897.13,tablet,"New York, USA",True,debit,approved,0
46,TCBAC55,U74870,2025-03-16T01:58:07.408058Z,647.95,tablet,"California, USA",True,prepaid,declined,0
47,T744639,U64545,2025-03-14T08:21:07.408058Z,784.87,tablet,"Ontario, Canada",True,credit,approved,0
48,T53C2B0,U42194,2025-03-14T05:50:07.408058Z,160.9,tablet,"Ontario, Canada",False,debit,declined,0
49,T5F4A75,U38761,2025-03-15T10:42:07.408058Z,655.58,mobile,"California, USA",False,credit,approved,0
50,T5F5CD7,U18890,2025-03-09T18:49:07.408058Z,836.47,tablet,"London, UK",True,debit,approved,1
51,TCDBD58,U44736,2025-03-11T03:54:07.423686Z,410.36,desktop,"Texas, USA",True,debit,declined,0
52,TF4DC74,U91392,2025-03-13T01:54:07.423686Z,333.05,tablet,"London, UK",False,debit,declined,0
53,TEAB136,U21719,2025-03-11T07:45:07.423686Z,557.23,mobile,"Texas, USA",False,prepaid,approved,0
54,T8BDF63,U80304,2025-03-13T17:11:07.423686Z,517.82,tablet,"New York, USA",False,credit,declined,0
55,T998CE2,U46411,2025-03-16T04:36:07.423686Z,943.16,mobile,"Texas, USA",False,credit,approved,0
56,TE9F88E,U68605,2025-03-12T07:52:07.423686Z,363.39,tablet,"London, UK",True,debit,approved,0
57,TBB07EE,U38395,2025-03-16T08:21:07.423686Z,697.9,mobile,"Texas, USA",False,debit,approved,0
58,TA857B6,U70736,2025-03-10T05:30:07.423686Z,467.26,mobile,"California, USA",False,credit,declined,0
59,T81B582,U50013,2025-03-11T09:10:07.423686Z,672.02,desktop,"California, USA",False,debit,declined,0
60,T283D72,U61168,2025-03-15T08:12:07.423686Z,312.78,desktop,"London, UK",False,credit,approved,0
61,T8BDD35,U76266,2025-03-16T02:57:07.423686Z,628.29,tablet,"London, UK",True,credit,approved,0
62,T5EDFEB,U14140,2025-03-10T07:26:07.423686Z,808.44,mobile,"Texas, USA",True,debit,declined,0
63,T55AA30,U99834,2025-03-12T11:58:07.423686Z,578.79,mobile,"Ontario, Canada",True,prepaid,approved,0
64,TD279BE,U30218,2025-03-09T21:40:07.423686Z,242.22,desktop,"London, UK",False,debit,approved,0
65,TBEE95B,U26821,2025-03-14T01:06:07.423686Z,497.98,desktop,"London, UK",False,prepaid,approved,0
66,T34F104,U93867,2025-03-12T23:10:07.423686Z,143.12,desktop,"New York, USA",False,debit,declined,0
67,T4FC90B,U51948,2025-03-11T07:41:07.423686Z,850.02,tablet,"New York, USA",True,credit,declined,0
68,T7C3FF5,U77234,2025-03-11T23:34:07.439316Z,447.89,tablet,"Ontario, Canada",True,prepaid,approved,0
69,TFFF0BB,U24694,2025-03-12T00:04:07.439316Z,338.66,tablet,"Ontario, Canada",True,debit,approved,1
70,TE5C0DA,U14704,2025-03-14T07:38:07.439316Z,12.5,tablet,"Texas, USA",False,debit,approved,0
71,T50A64B,U42403,2025-03-10T00:49:07.439316Z,551.52,mobile,"New York, USA",False,debit,declined,1
72,TE69EA2,U49111,2025-03-13T21:03:07.439316Z,666.92,desktop,"Texas, USA",False,debit,approved,0
73,T3F3368,U26482,2025-03-13T12:02:07.439316Z,503.19,mobile,"New York, USA",True,debit,approved,0
74,T887827,U32018,2025-03-11T19:37:07.439316Z,940.71,tablet,"London, UK",False,debit,declined,0
75,TEE0A5E,U66210,2025-03-11T02:24:07.439316Z,187.92,desktop,"London, UK",False,debit,approved,0
76,T81D47F,U14875,2025-03-16T07:57:07.439316Z,901.66,mobile,"New York, USA",False,credit,declined,0
77,T546606,U36648,2025-03-11T19:00:07.448609Z,191.53,mobile,"California, USA",True,prepaid,approved,1
78,TA02652,U76379,2025-03-11T08:35:07.449574Z,960.46,tablet,"London, UK",True,credit,approved,0
79,T8E7FA8,U79515,2025-03-12T02:53:07.450578Z,980.09,tablet,"Ontario, Canada",False,prepaid,declined,0
80,TCA697E,U86443,2025-03-09T22:55:07.451578Z,590.06,mobile,"Ontario, Canada",False,prepaid,declined,1
81,T8F63C5,U68903,2025-03-11T08:55:07.452577Z,466.64,mobile,"London, UK",False,debit,declined,1
82,T7AA871,U57868,2025-03-13T21:09:07.454577Z,414.52,tablet,"Ontario, Canada",False,debit,approved,0
83,T0340D5,U26281,2025-03-14T11:31:07.454577Z,422.81,desktop,"New York, USA",False,prepaid,declined,0
84,T39DDF8,U47665,2025-03-11T16:59:07.455577Z,495.95,desktop,"California, USA",False,prepaid,approved,0
85,TD5AC74,U67040,2025-03-09T21:11:07.456577Z,735.22,desktop,"London, UK",True,debit,declined,0
86,T5DF58F,U98458,2025-03-12T23:10:07.457973Z,494.78,tablet,"Texas, USA",False,credit,declined,0
87,T8B676A,U26981,2025-03-13T02:51:07.458974Z,898.86,tablet,"Ontario, Canada",False,prepaid,declined,0
88,T6FF4F7,U92575,2025-03-11T14:08:07.459974Z,436.94,tablet,"London, UK",False,prepaid,declined,1
89,TD97314,U24383,2025-03-14T22:22:07.460974Z,331.28,tablet,"New York, USA",False,prepaid,approved,0
90,T530BE4,U48778,2025-03-15T20:26:07.461974Z,593.37,mobile,"California, USA",False,prepaid,approved,0
91,T74EF65,U64024,2025-03-14T04:10:07.462974Z,953.37,desktop,"New York, USA",False,prepaid,declined,0
92,TF48B54,U52466,2025-03-13T20:26:07.465529Z,30.41,mobile,"Texas, USA",True,prepaid,declined,0
93,T5D703B,U17390,2025-03-16T06:59:07.466533Z,975.59,desktop,"Ontario, Canada",True,prepaid,approved,0
94,TE53955,U17045,2025-03-15T20:42:07.467532Z,876.6,desktop,"Texas, USA",True,prepaid,approved,0
95,TB2BA16,U55826,2025-03-14T19:08:07.468534Z,244.03,mobile,"London, UK",False,prepaid,declined,0
96,T61C121,U75778,2025-03-13T10:14:07.469531Z,216.25,desktop,"New York, USA",False,debit,declined,0
97,T0FDDDD,U17247,2025-03-14T06:04:07.470531Z,733.43,tablet,"Ontario, Canada",True,credit,declined,0
98,T7A6675,U82141,2025-03-10T19:22:07.471531Z,812.96,tablet,"Ontario, Canada",False,prepaid,approved,1
99,T54EE91,U85145,2025-03-13T10:13:07.472532Z,707.32,tablet,"Ontario, Canada",True,debit,declined,0
100,T7118CF,U28033,2025-03-15T07:06:07.473531Z,238.9,desktop,"Texas, USA",True,debit,approved,0
101,T5874E7,U48195,2025-03-10T00:01:07.474673Z,224.47,mobile,"London, UK",True,prepaid,approved,0
102,T9CFB5C,U83050,2025-03-16T00:40:07.475674Z,240.9,tablet,"New York, USA",True,prepaid,declined,0
103,TC370AE,U48725,2025-03-15T09:31:07.476676Z,908.62,mobile,"Texas, USA",True,prepaid,declined,0
104,TECC2B9,U53754,2025-03-11T13:16:07.477672Z,249.16,mobile,"New York, USA",False,prepaid,declined,0
105,T939E78,U23228,2025-03-10T00:27:07.478671Z,772.28,desktop,"California, USA",True,debit,approved,0
106,T07826D,U66422,2025-03-12T06:12:07.479676Z,442.46,desktop,"London, UK",True,debit,approved,0
107,T02F30E,U26295,2025-03-11T05:09:07.481381Z,380.63,desktop,"New York, USA",False,prepaid,approved,0
108,T2310EA,U48094,2025-03-12T00:45:07.482386Z,148.52,tablet,"Ontario, Canada",True,debit,declined,1
109,TE53A4E,U46275,2025-03-14T16:36:07.483385Z,41.5,desktop,"California, USA",True,debit,declined,1
110,T9EDB2B,U27309,2025-03-15T03:11:07.484592Z,343.71,mobile,"New York, USA",False,prepaid,declined,0
111,T42C9F8,U30724,2025-03-09T20:20:07.485596Z,508.41,tablet,"New York, USA",False,debit,declined,0
112,TD158CD,U43655,2025-03-09T22:49:07.486595Z,628.96,desktop,"California, USA",True,debit,approved,0
113,T267CFC,U33328,2025-03-13T00:43:07.487595Z,178.54,mobile,"New York, USA",False,prepaid,declined,0
114,T20C6C2,U17837,2025-03-13T05:29:07.488597Z,790.54,desktop,"California, USA",True,debit,declined,0
115,T3444BA,U35781,2025-03-10T23:10:07.489595Z,85.25,mobile,"Texas, USA",True,prepaid,declined,0
116,T86235F,U68374,2025-03-10T06:29:07.491367Z,932.36,desktop,"California, USA",True,prepaid,approved,0
117,T2D8297,U11620,2025-03-14T03:39:07.492273Z,927.25,desktop,"California, USA",False,credit,declined,0
118,T281530,U95133,2025-03-11T21:26:07.493278Z,523.15,mobile,"California, USA",False,debit,declined,0
119,TA1EC0A,U22005,2025-03-14T03:24:07.494277Z,445.39,desktop,"Texas, USA",True,prepaid,approved,0
120,T0FDFAA,U78671,2025-03-12T12:17:07.496273Z,101.78,tablet,"London, UK",False,credit,declined,0
121,TE0A568,U57998,2025-03-15T19:57:07.497561Z,126.93,mobile,"London, UK",False,debit,declined,1
122,T2AFB1A,U45205,2025-03-15T20:20:07.498561Z,838.04,tablet,"New York, USA",False,credit,declined,0
123,T3FB53E,U21670,2025-03-14T09:08:07.499562Z,338.71,desktop,"London, UK",False,prepaid,approved,0
124,T80AEE6,U82152,2025-03-10T15:02:07.500426Z,688.81,mobile,"Ontario, Canada",False,credit,approved,0
125,T1F3ED1,U39969,2025-03-11T19:21:07.501429Z,709.59,mobile,"California, USA",True,credit,approved,0
126,TC783DF,U15095,2025-03-09T22:26:07.502430Z,636.55,desktop,"New York, USA",False,credit,declined,0
127,T4FDEA4,U45871,2025-03-10T10:10:07.503428Z,540.86,mobile,"New York, USA",True,credit,approved,0
128,T7AEAEB,U75482,2025-03-10T18:59:07.504428Z,476.12,mobile,"Ontario, Canada",False,debit,declined,0
129,T821A6E,U94063,2025-03-10T12:39:07.505428Z,584.89,mobile,"California, USA",True,credit,declined,0
130,T4B63F9,U20799,2025-03-15T23:42:07.506428Z,689.51,mobile,"London, UK",False,debit,approved,0
131,T1B8896,U16557,2025-03-16T07:49:07.507833Z,909.02,tablet,"California, USA",True,debit,approved,0
132,TF30084,U17339,2025-03-11T20:13:07.509008Z,751.5,mobile,"New York, USA",False,credit,declined,0
133,T259235,U43913,2025-03-14T00:32:07.510011Z,447.6,mobile,"New York, USA",False,debit,approved,0
134,T71D47F,U62250,2025-03-13T05:20:07.511009Z,349.59,tablet,"London, UK",True,prepaid,declined,0
135,T1D42F5,U81031,2025-03-14T09:32:07.512441Z,281.96,desktop,"Texas, USA",False,prepaid,declined,0
136,TB6014C,U72236,2025-03-11T11:04:07.513444Z,443.2,tablet,"California, USA",False,prepaid,declined,0
137,TE8E335,U18966,2025-03-11T02:22:07.514442Z,218.57,tablet,"London, UK",False,debit,declined,0
138,T8C170E,U86393,2025-03-15T22:03:07.515444Z,175.87,mobile,"New York, USA",True,credit,declined,0
139,T3CADBB,U15167,2025-03-14T07:39:07.516366Z,331.65,desktop,"California, USA",False,debit,declined,1
140,T590880,U55003,2025-03-16T04:05:07.517369Z,431.55,tablet,"Texas, USA",False,credit,approved,0
141,TAD5713,U82660,2025-03-10T02:02:07.518366Z,734.38,mobile,"California, USA",True,prepaid,declined,0
142,T56716A,U46778,2025-03-14T16:23:07.519366Z,496.27,mobile,"Ontario, Canada",True,credit,declined,0
143,T74B9B2,U97843,2025-03-12T05:01:07.520366Z,843.55,tablet,"Texas, USA",True,prepaid,approved,0
144,TFE70C1,U93536,2025-03-13T15:04:07.521366Z,585.94,desktop,"London, UK",False,debit,declined,0
145,T2FA510,U17570,2025-03-14T00:17:07.522366Z,129.73,desktop,"London, UK",True,debit,approved,0
146,TD0046D,U73305,2025-03-14T13:35:07.523367Z,866.99,desktop,"London, UK",False,credit,approved,0
147,T9F1F74,U99491,2025-03-12T10:03:07.525093Z,239.67,tablet,"Ontario, Canada",False,prepaid,approved,0
148,TEFB8FB,U37500,2025-03-09T18:33:07.526631Z,751.08,tablet,"London, UK",False,prepaid,approved,0
149,T879FD0,U51397,2025-03-09T15:45:07.527633Z,280.26,desktop,"Texas, USA",False,prepaid,declined,0
150,TE98682,U97898,2025-03-13T09:42:07.528398Z,616.37,tablet,"Texas, USA",False,credit,declined,0
151,T0B3746,U47105,2025-03-10T20:58:07.529400Z,200.99,tablet,"Ontario, Canada",False,debit,approved,1
152,TBE7EDE,U42423,2025-03-10T14:11:07.530398Z,972.01,desktop,"California, USA",False,credit,declined,0
153,T1F573B,U23836,2025-03-13T20:20:07.532247Z,779.69,desktop,"California, USA",True,credit,approved,0
154,T638A78,U56631,2025-03-12T22:38:07.533362Z,211.18,desktop,"New York, USA",True,credit,declined,0
155,TC25DE2,U18445,2025-03-12T22:18:07.534361Z,237.29,mobile,"California, USA",False,prepaid,approved,0
156,T77CD41,U65087,2025-03-11T23:44:07.535362Z,889.92,desktop,"California, USA",True,credit,approved,0
157,TFA9E0F,U60045,2025-03-11T02:23:07.535362Z,409.94,mobile,"London, UK",True,prepaid,approved,0
158,TA1A3F6,U63457,2025-03-11T12:03:07.536361Z,998.32,mobile,"Texas, USA",False,debit,declined,1
159,TE654D3,U10261,2025-03-11T00:08:07.537361Z,427.13,desktop,"Ontario, Canada",False,prepaid,declined,0
160,T13F015,U12258,2025-03-14T09:49:07.538361Z,349.54,tablet,"Texas, USA",True,debit,declined,0
161,TEF2D71,U99379,2025-03-14T07:43:07.539361Z,348.49,mobile,"Ontario, Canada",False,debit,declined,0
162,T30D6E0,U59350,2025-03-14T08:57:07.540361Z,440.11,mobile,"London, UK",True,debit,declined,0
163,T74E318,U19694,2025-03-13T13:52:07.542362Z,380.34,desktop,"New York, USA",True,prepaid,approved,0
164,T7F29CD,U79610,2025-03-10T07:28:07.543367Z,586.83,mobile,"Texas, USA",False,credit,approved,0
165,TB251D6,U95844,2025-03-14T00:37:07.544511Z,451.86,mobile,"New York, USA",True,debit,declined,0
166,TA2A992,U14805,2025-03-15T14:25:07.545515Z,106.07,desktop,"California, USA",True,prepaid,declined,0
167,T905736,U85172,2025-03-12T11:11:07.546514Z,854.85,mobile,"California, USA",True,debit,approved,0
168,T2285A3,U50050,2025-03-10T23:01:07.548440Z,750.15,mobile,"Ontario, Canada",False,debit,declined,0
169,TDCBB1B,U77507,2025-03-15T08:25:07.549440Z,924.65,mobile,"New York, USA",True,prepaid,declined,0
170,T8D5FC8,U60225,2025-03-15T09:30:07.550437Z,495.46,desktop,"California, USA",False,credit,approved,0
171,T217C09,U53491,2025-03-12T15:43:07.551437Z,858.65,mobile,"California, USA",True,prepaid,approved,0
172,T83149F,U27199,2025-03-15T05:28:07.552437Z,792.07,mobile,"California, USA",False,prepaid,approved,0
173,TA6226A,U50332,2025-03-10T16:12:07.553438Z,348.76,desktop,"New York, USA",True,prepaid,approved,0
174,TA77944,U53631,2025-03-12T18:23:07.554443Z,388.78,tablet,"London, UK",False,debit,declined,0
175,T776C91,U35086,2025-03-13T08:14:07.555437Z,319.36,mobile,"Texas, USA",False,prepaid,approved,0
176,TADB9C2,U94598,2025-03-15T13:12:07.556440Z,114.6,tablet,"London, UK",False,credit,declined,0
177,TEFEED9,U51980,2025-03-10T15:40:07.557438Z,512.22,tablet,"California, USA",True,credit,approved,0
178,T2536E6,U60818,2025-03-15T12:23:07.559060Z,292.73,mobile,"California, USA",True,debit,declined,0
179,TD5C28A,U53089,2025-03-12T00:54:07.560417Z,268.28,tablet,"London, UK",True,debit,approved,1
180,TC33BDA,U86341,2025-03-09T23:30:07.561419Z,623.79,tablet,"New York, USA",False,prepaid,approved,0
181,T98B7D6,U80291,2025-03-16T10:44:07.562418Z,829.76,tablet,"Texas, USA",True,debit,approved,0
182,TBCE7E7,U85134,2025-03-13T18:15:07.563420Z,719.82,desktop,"California, USA",True,prepaid,declined,0
183,T87D693,U21732,2025-03-12T06:55:07.565419Z,307.18,mobile,"California, USA",True,credit,declined,0
184,T374975,U61451,2025-03-15T04:40:07.566420Z,127.01,desktop,"Texas, USA",True,prepaid,approved,0
185,T66C242,U75570,2025-03-12T22:13:07.567419Z,151.71,tablet,"London, UK",True,prepaid,approved,0
186,T6E983A,U10865,2025-03-13T02:37:07.568419Z,707.69,desktop,"California, USA",True,credit,approved,0
187,TA6BEAA,U28790,2025-03-14T15:34:07.568419Z,820.69,mobile,"Texas, USA",False,debit,approved,0
188,T9E0267,U84705,2025-03-13T16:38:07.569419Z,294.25,desktop,"Texas, USA",True,debit,approved,1
189,T2C679D,U99440,2025-03-11T10:29:07.570420Z,707.56,desktop,"California, USA",False,prepaid,declined,0
190,T026126,U17603,2025-03-14T21:05:07.571418Z,140.69,tablet,"London, UK",True,prepaid,approved,0
191,TF12B2C,U12822,2025-03-14T15:18:07.572418Z,942.97,tablet,"California, USA",False,prepaid,declined,0
192,T128B28,U56820,2025-03-09T18:59:07.573419Z,231.07,tablet,"California, USA",False,credit,declined,0
193,TD64506,U72860,2025-03-15T02:36:07.575817Z,225.82,tablet,"Ontario, Canada",False,debit,declined,0
194,TAC64CF,U51139,2025-03-16T03:48:07.576505Z,489.54,desktop,"New York, USA",True,prepaid,declined,0
195,T0B9AEA,U38898,2025-03-11T13:14:07.577508Z,857.23,desktop,"London, UK",True,debit,declined,0
196,TA11A4D,U79534,2025-03-12T22:27:07.578506Z,980.71,mobile,"London, UK",False,debit,declined,0
197,T15B5D2,U81080,2025-03-16T01:36:07.580325Z,223.11,mobile,"London, UK",True,credit,declined,0
198,T010366,U24923,2025-03-14T19:57:07.581329Z,251.34,desktop,"London, UK",True,debit,declined,0
199,TCA521D,U88669,2025-03-11T04:21:07.582328Z,863.3,mobile,"California, USA",True,debit,approved,0
200,T50D5AD,U29365,2025-03-16T01:02:07.583328Z,700.46,desktop,"London, UK",False,credit,declined,1
201,T1E303E,U68896,2025-03-16T09:53:07.584328Z,335.96,tablet,"Ontario, Canada",True,credit,approved,1
202,T091566,U65118,2025-03-15T13:30:07.585328Z,125.34,tablet,"California, USA",False,credit,declined,0
203,T41EDB9,U36241,2025-03-11T12:50:07.586328Z,691.86,tablet,"Ontario, Canada",True,debit,approved,0
204,T50634F,U24847,2025-03-13T10:00:07.587327Z,135.87,tablet,"Texas, USA",False,prepaid,approved,1
205,TAF8858,U79943,2025-03-12T03:28:07.587327Z,855.49,tablet,"Texas, USA",True,credit,declined,1
206,T0DB94A,U30455,2025-03-14T16:44:07.588328Z,687.57,desktop,"California, USA",True,debit,approved,0
207,T665611,U75866,2025-03-16T01:10:07.589328Z,667.81,mobile,"Texas, USA",True,prepaid,declined,0
208,T5881A1,U83416,2025-03-09T18:49:07.591253Z,93.82,desktop,"Texas, USA",False,debit,declined,0
209,T15D435,U77774,2025-03-14T06:51:07.592467Z,664.27,desktop,"Texas, USA",False,debit,approved,0
210,T4146DF,U53763,2025-03-11T10:59:07.594468Z,99.67,mobile,"California, USA",False,credit,declined,0
211,T748DE9,U98124,2025-03-15T14:20:07.596020Z,949.96,desktop,"London, UK",True,credit,approved,0
212,T0F8272,U17066,2025-03-12T23:41:07.596020Z,639.29,tablet,"Ontario, Canada",True,debit,approved,0
213,T12DC2B,U59686,2025-03-11T14:55:07.596020Z,706.58,desktop,"California, USA",False,debit,declined,0
214,T9FB756,U69145,2025-03-16T00:43:07.596020Z,335.27,mobile,"Texas, USA",True,prepaid,approved,0
215,TC9E619,U88722,2025-03-12T12:43:07.596020Z,94.24,desktop,"New York, USA",False,debit,approved,1
216,TF4EB13,U75112,2025-03-14T18:04:07.596020Z,39.5,desktop,"London, UK",True,debit,declined,0
217,TE86F59,U60045,2025-03-10T23:43:07.596020Z,999.76,tablet,"New York, USA",True,credit,declined,0
218,T468336,U22909,2025-03-15T09:44:07.596020Z,136.96,mobile,"London, UK",False,credit,declined,0
219,T2560DD,U86534,2025-03-13T07:35:07.596020Z,751.47,tablet,"New York, USA",False,credit,declined,1
220,T7DF4FC,U38479,2025-03-10T08:21:07.596020Z,919.01,tablet,"Texas, USA",False,prepaid,declined,0
221,TCDE57E,U83286,2025-03-11T01:35:07.596020Z,80.66,mobile,"California, USA",False,prepaid,approved,0
222,TCEDCF2,U61034,2025-03-13T12:55:07.596020Z,946.06,tablet,"New York, USA",True,prepaid,approved,0
223,T1EAB77,U95001,2025-03-12T09:35:07.608694Z,822.32,mobile,"Texas, USA",False,credit,approved,0
224,T2C2339,U31900,2025-03-15T18:39:07.609694Z,987.66,mobile,"New York, USA",True,prepaid,approved,0
225,T8B1C08,U61746,2025-03-10T15:25:07.612687Z,973.86,tablet,"New York, USA",True,prepaid,approved,0
226,T310F0A,U63372,2025-03-15T04:59:07.613687Z,450.03,tablet,"Texas, USA",True,debit,approved,0
227,T657DA1,U25143,2025-03-14T07:04:07.614689Z,733.56,mobile,"Ontario, Canada",True,credit,declined,0
228,TD11BD0,U26351,2025-03-13T10:04:07.616689Z,413.0,desktop,"Ontario, Canada",True,credit,approved,0
229,T3BF5D7,U64837,2025-03-11T06:40:07.617687Z,627.78,desktop,"California, USA",True,prepaid,declined,0
230,T0F1C97,U90641,2025-03-16T04:14:07.618687Z,974.19,tablet,"London, UK",True,debit,approved,0
231,T247CE6,U83407,2025-03-13T15:11:07.619694Z,669.21,desktop,"New York, USA",False,prepaid,declined,0
232,T521F7E,U37258,2025-03-16T04:50:07.619694Z,717.23,mobile,"Texas, USA",True,credit,declined,0
233,T09CDF9,U31918,2025-03-10T18:13:07.620687Z,203.51,tablet,"Texas, USA",True,credit,declined,0
234,T4CCACB,U66779,2025-03-15T16:00:07.621687Z,562.51,desktop,"London, UK",True,debit,approved,0
235,T1854AD,U55154,2025-03-10T15:26:07.622687Z,594.85,desktop,"New York, USA",False,prepaid,approved,0
236,T522CD4,U92470,2025-03-10T12:28:07.624692Z,211.29,mobile,"New York, USA",True,credit,approved,0
237,TBF09FD,U68540,2025-03-10T11:20:07.625693Z,600.76,mobile,"London, UK",False,debit,declined,1
238,T05F52B,U58540,2025-03-13T16:23:07.626687Z,956.16,desktop,"London, UK",False,debit,approved,0
239,T231FFC,U21605,2025-03-13T18:16:07.628688Z,346.34,mobile,"Texas, USA",True,credit,declined,0
240,T135C75,U49859,2025-03-12T18:04:07.629686Z,879.38,tablet,"New York, USA",True,credit,approved,0
241,T8BD44F,U97379,2025-03-09T23:25:07.630687Z,265.19,tablet,"New York, USA",True,prepaid,declined,0
242,TF9B474,U64681,2025-03-13T15:00:07.631687Z,675.17,desktop,"Ontario, Canada",False,debit,declined,0
